Dia,Codi estació,Nom estació,Volum (hm3)
15/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
14/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043241
14/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
13/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043193
13/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
12/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038961
12/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
11/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041074
11/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
10/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043815
10/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
09/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043783
09/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
08/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042478
08/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
07/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.028586
07/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.002656
06/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040475
06/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.030816
05/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04059
05/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.053904
04/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041388
04/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.090384
03/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043395
03/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.097152
02/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.039693
02/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.095296
01/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.045355
01/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.096688
30/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040111
30/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.093296
29/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04121
29/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.04336
28/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.026244
28/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.064048
27/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04181
27/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.127392
26/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.039335
26/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.086592
25/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041316
25/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.113264
24/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041027
24/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.13352
23/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04094
23/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.130352
22/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041359
22/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.115776
21/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041271
21/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.065664
20/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040643
20/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.045264
19/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041098
19/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.093424
18/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041424
18/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.095552
17/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040736
17/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.09304
16/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038077
16/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.094096
15/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040217
15/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.09456
14/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043379
14/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.089968
13/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04448
13/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.095536
12/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.038275
12/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.097696
11/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040695
11/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.165552
10/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043827
10/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.172224
09/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.037182
09/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.169808
08/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.037488
08/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.170688
07/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043454
07/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.163888
06/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040832
06/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.153312
05/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042414
05/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.153296
04/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041518
04/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.161056
03/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042119
03/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.162688
02/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041929
02/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.161712
01/04/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042594
01/04/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.164272
31/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041313
31/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.1716
30/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.039452
30/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.17184
29/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04053
29/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171728
28/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041252
28/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.161424
27/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.037578
27/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171808
26/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04192
26/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171776
25/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041958
25/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.16816
24/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041618
24/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.1616
23/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040578
23/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.170672
22/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040706
22/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171312
21/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040538
21/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.171088
20/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041016
20/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.170928
19/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041066
19/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.170704
18/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043915
18/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.167648
17/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.033611
17/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.162128
16/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.037425
16/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.17048
15/03/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042098
15/03/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.170576
