Dia,Volum
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,56.35
2021-09-24,0.31
2021-09-25,0.7
2021-09-26,0.72
2021-09-27,0.75
2021-09-28,0.69
2021-09-29,1.04
2021-09-30,1.35
2021-10-01,0.9
2021-10-02,1.04
2021-10-03,0.96
2021-10-04,0.43
2021-10-05,0.3
2021-10-06,0.71
2021-10-07,0.99
2021-10-08,1.08
2021-10-09,1.25
2021-10-10,1.19
2021-10-11,1.41
2021-10-12,1.27
2021-10-13,1.63
2021-10-14,1.46
2021-10-15,1.71
2021-10-16,1.77
2021-10-17,1.56
2021-10-18,1.3
2021-10-19,0.87
2021-10-20,1.41
2021-10-21,1.44
2021-10-22,1.5
2021-10-23,1.42
2021-10-24,1.34
2021-10-25,0.7
2021-10-26,0.75
2021-10-27,0.74
2021-10-28,0.85
2021-10-29,1.07
2021-10-30,0.85
2021-10-31,0.38
2021-11-01,0.52
2021-11-02,0.76
2021-11-03,1.03
2021-11-04,0.74
2021-11-05,0.88
2021-11-06,1.13
2021-11-07,1.01
2021-11-08,0.63
2021-11-09,0.61
2021-11-10,0.92
2021-11-11,1.45
2021-11-12,1.03
2021-11-13,1.25
2021-11-14,1.55
2021-11-15,1.56
2021-11-16,0.93
2021-11-17,0.79
2021-11-18,0.98
2021-11-19,1.67
2021-11-20,1.87
2021-11-21,1.8
2021-11-22,1.86
2021-11-23,1.83
2021-11-24,1.15
2021-11-25,1.07
2021-11-26,1.18
2021-11-27,1.28
2021-11-28,1.4
2021-11-29,1.43
2021-11-30,1.66
2021-12-01,1.25
2021-12-02,0.96
2021-12-03,1.17
2021-12-04,1.6
2021-12-05,1.48
2021-12-06,1.51
2021-12-07,1.07
2021-12-08,1.36
2021-12-09,1.74
2021-12-10,1.54
2021-12-11,1.53
2021-12-12,1.51
2021-12-13,1.51
2021-12-14,1.39
2021-12-15,1.32
2021-12-16,1.51
2021-12-17,1.49
2021-12-18,1.49
2021-12-19,1.5
2021-12-20,1.51
2021-12-21,1.47
2021-12-22,1.19
2021-12-23,1.34
2021-12-24,1.6
2021-12-25,1.48
2021-12-26,1.59
2021-12-27,1.56
2021-12-28,1.51
2021-12-29,1.54
2021-12-30,1.57
2021-12-31,1.56
2022-01-01,0.89
2022-01-02,1.34
2022-01-03,1.13
2022-01-04,0.92
2022-01-05,1.24
2022-01-06,1.13
2022-01-07,1.25
2022-01-08,1.03
2022-01-09,1.03
2022-01-10,1.02
2022-01-11,1.34
2022-01-12,1.69
2022-01-13,1.89
2022-01-14,1.84
2022-01-15,1.57
2022-01-16,1.33
2022-01-17,1.63
2022-01-18,1.99
2022-01-19,1.76
2022-01-20,1.74
2022-01-21,1.54
2022-01-22,1.21
2022-01-23,1.49
2022-01-24,1.51
2022-01-25,1.51
2022-01-26,1.51
2022-01-27,1.54
2022-01-28,1.54
2022-01-29,1.55
2022-01-30,1.55
2022-01-31,1.55
2022-02-01,1.51
2022-02-02,1.46
2022-02-03,1.27
2022-02-04,1.22
2022-02-05,1.28
2022-02-06,1.28
2022-02-07,0.45
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,0.0
2022-02-14,0.0
2022-02-15,0.14
2022-02-16,0.6
2022-02-17,0.59
2022-02-18,0.6
2022-02-19,0.6
2022-02-20,0.6
2022-02-21,0.63
2022-02-22,0.67
2022-02-23,0.69
2022-02-24,0.67
2022-02-25,0.67
2022-02-26,0.68
2022-02-27,0.67
2022-02-28,0.67
2022-03-01,0.87
2022-03-02,1.14
2022-03-03,0.95
2022-03-04,0.91
2022-03-05,0.84
2022-03-06,0.98
2022-03-07,0.91
2022-03-08,1.1
2022-03-09,1.04
2022-03-10,0.88
2022-03-11,0.83
2022-03-12,0.94
2022-03-13,0.43
2022-03-14,0.43
2022-03-15,0.43
2022-03-16,0.51
2022-03-17,0.74
2022-03-18,0.74
2022-03-19,0.87
2022-03-20,0.83
2022-03-21,0.83
2022-03-22,0.66
2022-03-23,0.3
2022-03-24,0.31
2022-03-25,0.53
2022-03-26,0.74
2022-03-27,0.7
2022-03-28,0.77
2022-03-29,0.8
2022-03-30,0.98
2022-03-31,1.02
2022-04-01,0.77
2022-04-02,0.75
2022-04-03,0.72
2022-04-04,0.7
2022-04-05,0.73
2022-04-06,0.61
2022-04-07,0.57
2022-04-08,0.69
2022-04-09,0.67
2022-04-10,0.66
2022-04-11,0.8
2022-04-12,0.88
2022-04-13,1.29
2022-04-14,1.51
2022-04-15,1.53
2022-04-16,1.53
2022-04-17,1.3
2022-04-18,0.96
2022-04-19,1.19
2022-04-20,1.52
2022-04-21,1.39
2022-04-22,1.31
2022-04-23,0.9
2022-04-24,1.15
2022-04-25,0.94
2022-04-26,0.74
2022-04-27,1.08
2022-04-28,1.6
2022-04-29,1.6
2022-04-30,1.66
2022-05-01,1.51
2022-05-02,1.63
2022-05-03,1.55
2022-05-04,1.22
2022-05-05,1.51
2022-05-06,1.59
2022-05-07,1.95
2022-05-08,2.0
2022-05-09,1.16
2022-05-10,1.12
2022-05-11,1.38
2022-05-12,1.72
2022-05-13,1.47
2022-05-14,1.2
2022-05-15,1.17
2022-05-16,1.55
2022-05-17,1.71
2022-05-18,1.78
2022-05-19,1.93
2022-05-20,2.03
2022-05-21,2.03
2022-05-22,1.67
2022-05-23,1.52
2022-05-24,1.77
2022-05-25,1.2
2022-05-26,1.13
2022-05-27,1.79
2022-05-28,1.65
2022-05-29,1.63
2022-05-30,1.9
2022-05-31,2.0
2022-06-01,1.85
2022-06-02,1.61
2022-06-03,2.0
2022-06-04,1.88
2022-06-05,1.5
2022-06-06,1.51
2022-06-07,1.51
2022-06-08,1.51
2022-06-09,1.51
2022-06-10,1.24
2022-06-11,1.29
2022-06-12,1.3
2022-06-13,1.46
2022-06-14,1.63
2022-06-15,1.43
2022-06-16,1.07
2022-06-17,0.75
2022-06-18,1.66
2022-06-19,1.68
2022-06-20,1.7
2022-06-21,1.69
2022-06-22,1.68
2022-06-23,1.68
2022-06-24,1.62
2022-06-25,1.61
2022-06-26,1.65
2022-06-27,1.7
2022-06-28,1.7
2022-06-29,1.7
2022-06-30,1.7
2022-07-01,1.7
2022-07-02,1.7
2022-07-03,1.7
2022-07-04,1.51
2022-07-05,1.62
2022-07-06,1.69
2022-07-07,1.69
2022-07-08,1.7
